Brand,Model,Year,OS,CPU,RAM,Storage,Battery,Resolution,Refresh_Rate,Price
Sony,Xperia L2 LTE-A AM H3321,2018-01-26, Android," MediaTek MT6737T, 2016, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",32.0,,3300.0,720x1280,,
Sony,Xperia L2 Dual SIM TD-LTE EMEA H4311,2018-01-26, Android," MediaTek MT6737T, 2016, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",32.0,,3300.0,720x1280,,
LG,LMX210NMW K Series K9 2018 Dual SIM LTE EMEA,2018-03-24, Android," Qualcomm Snapdragon 212 MSM8909v2, 2015, 32 bit, quad-core, 28 nm, Qualcomm Adreno 304 GPU",16.0,,2500.0,720x1280,,
LG,LMX410EOW K Series K11 2018 Dual SIM LTE-A / K10 2018,2018-05-01, Android," MediaTek MT6750, 2016, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 512 Kbyte L2, 28 nm, ARM Mali-T860 GPU",16.0,,3000.0,720x1280,,
Sony,Xperia L2 Dual SIM TD-LTE APAC H4331,2018-02-01, Android," MediaTek MT6737T, 2016, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",32.0,,3300.0,720x1280,,
Oppo,A83 Dual SIM TD-LTE MY VN EG PK,2018-01-21, Android," MediaTek Helio P23 MT6763T, 2017, 64 bit, octa-core, 16 nm, ARM Mali-G71 GPU",32.0,,3180.0,720x1440,,
Oppo,A83 Dual SIM TD-LTE RU KZ PH KE,2018-01-21, Android," MediaTek Helio P23 MT6763T, 2017, 64 bit, octa-core, 16 nm, ARM Mali-G71 GPU",32.0,,3180.0,720x1440,,
Oppo,A37 Dual SIM TD-LTE IN KZ,2016-06-01, Android," Qualcomm Snapdragon 410 MSM8916, 2014, 64 bit, quad-core, 28 nm, Qualcomm Adreno 306 GPU",16.0,,2630.0,720x1280,,
Oppo,A37 Dual SIM TD-LTE EMEA,2016-06-01, Android," Qualcomm Snapdragon 410 MSM8916, 2014, 64 bit, quad-core, 28 nm, Qualcomm Adreno 306 GPU",16.0,,2630.0,720x1280,,
Oppo,A37 Dual SIM TD-LTE SG,2016-06-01, Android," Qualcomm Snapdragon 410 MSM8916, 2014, 64 bit, quad-core, 28 nm, Qualcomm Adreno 306 GPU",16.0,,2630.0,720x1280,,
Oppo,A39 Dual SIM TD-LTE ID VN CPH1605,2016-10-29, Android," MediaTek MT6750, 2016, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 512 Kbyte L2, 28 nm, ARM Mali-T860 GPU",32.0,,2900.0,720x1280,,
Sony,Xperia XA2 Ultra TD-LTE EMEA H3213 / SM22,2018-02-01, Android," Qualcomm Snapdragon 630 SDM630, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 508 GPU",32.0,,3580.0,1080x1920,,
Sony,Xperia XA2 Ultra LTE-A AM H3223,2018-02-01, Android," Qualcomm Snapdragon 630 SDM630, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 508 GPU",32.0,,3580.0,1080x1920,,
Tecno Mobile,Spark Pro Dual SIM LTE,2017-11-02, Android," MediaTek MT6737, 2016, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",16.0,,3000.0,720x1280,,
LG,V300S V30S ThinQ TD-LTE,2018-03-01, Android," Qualcomm Snapdragon 835 MSM8998, 2017, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 2048 Kbyte L2, 10 nm, Qualcomm Adreno 540 GPU",128.0,,3300.0,1440x2880,,
